                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.71946,                 1.5274,                0.63126,                 1.1091,                0.70587,                0.53441,                0.61751,                0.39063,                 0.6984,                0.53219,                0.60431,                0.36665,                 1.4458,                 3.1552,                  1.391,                 1.8586,             0.00025479,             0.00025479,             0.00025479
                     85,                0.71556,                 1.5237,                0.62824,                 1.1075,                0.66888,                0.58952,                0.63087,                0.40677,                0.65866,                0.58488,                0.61236,                0.38016,                 1.4253,                 3.1913,                 1.3389,                 1.8822,             0.00024064,             0.00024064,             0.00024064
                     86,                0.70787,                 1.5106,                0.62337,                 1.1021,                0.73243,                0.55264,                0.63792,                  0.413,                0.72828,                0.54969,                0.62261,                0.38529,                  1.418,                 3.1651,                 1.3696,                 1.8376,              0.0002265,              0.0002265,              0.0002265
                     87,                0.70464,                 1.5047,                0.62505,                 1.1029,                0.74169,                0.56704,                0.62271,                0.40416,                0.72472,                 0.5491,                 0.6031,                0.37314,                 1.4013,                 3.1752,                 1.3714,                 1.8342,             0.00021235,             0.00021235,             0.00021235
                     88,                0.70044,                 1.5073,                0.61776,                  1.099,                0.70914,                0.54921,                0.61582,                  0.403,                0.68591,                0.56731,                0.60935,                0.37647,                 1.4345,                 3.2244,                 1.3736,                 1.8852,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.7048,                 1.4944,                0.61138,                 1.0976,                0.69634,                0.57788,                0.63431,                0.41042,                0.68125,                0.57078,                0.61271,                0.38452,                  1.426,                 3.3217,                 1.3843,                 1.8614,             0.00018406,             0.00018406,             0.00018406
                     90,                0.70045,                 1.4754,                0.61112,                 1.0957,                0.75841,                0.51971,                0.62526,                0.41022,                0.68707,                0.55437,                0.61419,                0.38311,                 1.4049,                 3.2501,                 1.3713,                 1.8194,             0.00016991,             0.00016991,             0.00016991
                     91,                0.63646,                 1.3336,                0.47835,                 1.1078,                0.64701,                0.56179,                0.61709,                 0.4046,                 0.6718,                0.55344,                0.60864,                0.38144,                 1.3921,                 3.0174,                 1.4501,                 1.8257,             0.00015576,             0.00015576,             0.00015576
                     92,                0.61193,                 1.2819,                0.43717,                 1.0916,                0.72891,                0.54584,                0.60766,                0.39987,                0.73401,                0.53228,                0.59482,                0.37824,                 1.4112,                 3.2522,                 1.3952,                 1.8606,             0.00014161,             0.00014161,             0.00014161
                     93,                 0.5866,                 1.2447,                0.41242,                 1.0611,                0.72432,                0.56182,                0.61892,                0.40526,                0.71226,                0.56447,                0.61085,                 0.3824,                 1.4158,                 3.3112,                 1.4004,                 1.8651,             0.00012747,             0.00012747,             0.00012747
                     94,                0.57987,                 1.2336,                0.39723,                 1.0609,                  0.784,                0.51523,                 0.6269,                0.40654,                0.74518,                0.52394,                0.61138,                0.38357,                 1.4031,                 3.3342,                 1.3862,                 1.8635,             0.00011332,             0.00011332,             0.00011332
                     95,                0.57281,                 1.2297,                0.38414,                 1.0548,                0.72005,                  0.547,                0.61774,                0.40732,                 0.7162,                0.54538,                0.59944,                0.38216,                 1.3949,                 2.9793,                 1.4146,                 1.8713,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.55847,                 1.2051,                0.37836,                 1.0464,                0.67425,                0.57039,                0.61205,                0.39761,                0.65713,                0.57419,                0.59917,                0.37347,                 1.4242,                 3.2334,                 1.4211,                 1.8945,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.56133,                 1.2002,                0.37026,                 1.0445,                  0.656,                0.57869,                 0.6166,                0.40668,                0.65117,                0.57545,                0.60706,                  0.377,                 1.3957,                 3.1434,                 1.4406,                  1.866,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.55095,                  1.196,                0.37212,                 1.0448,                0.74534,                0.52684,                0.62513,                0.40921,                0.73524,                0.52446,                0.60979,                0.38341,                 1.3885,                 3.1743,                 1.4135,                 1.8708,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.54675,                 1.1768,                0.36352,                 1.0346,                0.76718,                0.51522,                0.61905,                0.40782,                0.75646,                0.51221,                0.61407,                 0.3847,                 1.3952,                 3.3012,                 1.4054,                 1.8878,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.54033,                 1.1764,                0.35371,                 1.0278,                0.77351,                0.52021,                0.62538,                0.41182,                  0.697,                 0.5666,                0.62005,                0.38747,                  1.388,                 3.3729,                 1.3944,                 1.8832,             2.8437e-05,             2.8437e-05,             2.8437e-05
